Model,MAE,RMSE,R2
Gradient Boosting,128905875.5947365,427577850.7821496,0.007744037854247265
Random Forest,124255069.86205867,428977114.74882245,0.0012390243161294334
Ridge Regression,169883044.2983013,441714783.2743497,-0.05895422162552233
Linear Regression,170796957.88699168,442170485.62126064,-0.06114032391111479
